"DRD370Q.Code.or.Value","DRD370Q.Value.Description","DRD370Q.Count","DRD370Q.Cumulative","DRD370Q.Skip.to.Item"
"1","Yes",28,28,""
"2","No",4854,4882,"DRD370R"
".","Missing",4662,9544,""
