"LBXHA.Code.or.Value","LBXHA.Value.Description","LBXHA.Count","LBXHA.Cumulative","LBXHA.Skip.to.Item"
"1","Positive",4424,4424,NA
"2","Negative",2712,7136,NA
"3","Indeterminate",1,7137,NA
".","Missing",1016,8153,NA
