"SPQ020.Code.or.Value","SPQ020.Value.Description","SPQ020.Count","SPQ020.Cumulative","SPQ020.Skip.to.Item"
"1","Yes",674,674,""
"2","No",7009,7683,"SPQ040"
"7","Refused",0,7683,""
"9","Don't know",2,7685,""
".","Missing",510,8195,""
