"DXDLLTOT.Code.or.Value","DXDLLTOT.Value.Description","DXDLLTOT.Count","DXDLLTOT.Cumulative","DXDLLTOT.Skip.to.Item"
"2613.8 to 34055","Range of Values",5289,5289,NA
".","Missing",744,6033,NA
