"URXMC1.Code.or.Value","URXMC1.Value.Description","URXMC1.Count","URXMC1.Cumulative","URXMC1.Skip.to.Item"
"0.14 to 1425.8","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
