"WTSPP19.Code.or.Value","WTSPP19.Value.Description","WTSPP19.Count","WTSPP19.Cumulative","WTSPP19.Skip.to.Item"
"0 to 849260.84505","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
