"CSXNART.Code.or.Value","CSXNART.Value.Description","CSXNART.Count","CSXNART.Cumulative","CSXNART.Skip.to.Item"
"0 to 100","Range of Values",1613,1613,NA
".","Missing",2095,3708,NA
