"DTD210Q.Code.or.Value","DTD210Q.Value.Description","DTD210Q.Count","DTD210Q.Cumulative","DTD210Q.Skip.to.Item"
"0 to 30","Range of Values",7846,7846,NA
"777","Refused",4,7850,NA
"999","Don't know",7,7857,NA
".","Missing",684,8541,NA
