"DR1IP182.Code.or.Value","DR1IP182.Value.Description","DR1IP182.Count","DR1IP182.Cumulative","DR1IP182.Skip.to.Item"
"0 to 75.329","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
