"OPDUSWRT.Code.or.Value","OPDUSWRT.Value.Description","OPDUSWRT.Count","OPDUSWRT.Cumulative","OPDUSWRT.Skip.to.Item"
"0","No",3131,3131,NA
"1","Questionable",23,3154,NA
"2","Yes",79,3233,NA
"3","Yes, in center",19,3252,NA
".","Missing",611,3863,NA
