"DBQ235A.Code.or.Value","DBQ235A.Value.Description","DBQ235A.Count","DBQ235A.Cumulative","DBQ235A.Skip.to.Item"
"0","Never",104,104,NA
"1","Rarely-less than once a week",172,276,NA
"2","Sometimes-once a week or more, but less than once a 
    day",437,713,NA
"3","Often-once a day or more",3477,4190,NA
"4","Varied",36,4226,NA
"7","Refused",0,4226,NA
"9","Don't know",29,4255,NA
".","Missing",5501,9756,NA
