"RFXT158.Code.or.Value","RFXT158.Value.Description","RFXT158.Count","RFXT158.Cumulative","RFXT158.Skip.to.Item"
"1380 to 1388","Range of Values",33668,33668,NA
".","Missing",53,33721,NA
