"WBXF095.Code.or.Value","WBXF095.Value.Description","WBXF095.Count","WBXF095.Cumulative","WBXF095.Skip.to.Item"
"5656.8542 to 5656.8542","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
