"DR1IFDFE.Code.or.Value","DR1IFDFE.Value.Description","DR1IFDFE.Count","DR1IFDFE.Cumulative","DR1IFDFE.Skip.to.Item"
"0 to 3728","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
