"DBD905.Code.or.Value","DBD905.Value.Description","DBD905.Count","DBD905.Cumulative","DBD905.Skip.to.Item"
"1 to 180","Range of Values",2656,2656,NA
"0","Never",7012,9668,NA
"7777","Refused",1,9669,NA
"9999","Don't know",12,9681,NA
".","Missing",494,10175,NA
