"FFQ0025.Code.or.Value","FFQ0025.Value.Description","FFQ0025.Count","FFQ0025.Cumulative","FFQ0025.Skip.to.Item"
1,"Yes",5129,5129,""
2,"No",1021,6150,"FFQ0026"
88,"Blank",320,6470,""
99,"Error",2,6472,""
