"DSXDF1.Code.or.Value","DSXDF1.Value.Description","DSXDF1.Count","DSXDF1.Cumulative","DSXDF1.Skip.to.Item"
"0.42 to 6365.99","Range of Values",6957,6957,NA
".","Missing",2483,9440,NA
