"SSMPAHL.Code.or.Value","SSMPAHL.Value.Description","SSMPAHL.Count","SSMPAHL.Cumulative","SSMPAHL.Skip.to.Item"
"0","At or above the detection limit",250,250,NA
"1","Below lower detection limit",275,525,NA
".","Missing",0,525,NA
