"AUXRR183.Code.or.Value","AUXRR183.Value.Description","AUXRR183.Count","AUXRR183.Cumulative","AUXRR183.Skip.to.Item"
"-27 to 74","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
