"DR2TVARA.Code.or.Value","DR2TVARA.Value.Description","DR2TVARA.Count","DR2TVARA.Cumulative","DR2TVARA.Skip.to.Item"
"0 to 10155","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
