"OPXDF2FO.Code.or.Value","OPXDF2FO.Value.Description","OPXDF2FO.Count","OPXDF2FO.Cumulative","OPXDF2FO.Skip.to.Item"
"0","Good/fair",2693,2693,NA
"1","Borderline",404,3097,NA
"2","Poor",170,3267,NA
".","Missing",596,3863,NA
