"LBXHCY.Code.or.Value","LBXHCY.Value.Description","LBXHCY.Count","LBXHCY.Cumulative","LBXHCY.Skip.to.Item"
"1.79 to 116.21","Range of Values",7888,7888,NA
"1.79 to 116.21","Range of Values",7888,7888,NA
".","Missing",668,8556,NA
".","Missing",668,8556,NA
