"DRD370P.Code.or.Value","DRD370P.Value.Description","DRD370P.Count","DRD370P.Cumulative","DRD370P.Skip.to.Item"
"1","Yes",24,24,""
"2","No",5056,5080,"DRD370Q"
".","Missing",4202,9282,""
