"LBXBPB.Code.or.Value","LBXBPB.Value.Description","LBXBPB.Count","LBXBPB.Cumulative","LBXBPB.Skip.to.Item"
"0.18 to 43.52","Range of Values",8793,8793,NA
".","Missing",1042,9835,NA
