"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.191 to 63.7","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
