"DS2TLYCO.Code.or.Value","DS2TLYCO.Value.Description","DS2TLYCO.Count","DS2TLYCO.Cumulative","DS2TLYCO.Skip.to.Item"
"75 to 30950","Range of Values",834,834,NA
".","Missing",8928,9762,NA
