"DSD128GG.Code.or.Value","DSD128GG.Value.Description","DSD128GG.Count","DSD128GG.Cumulative","DSD128GG.Skip.to.Item"
"41","FOR ANTIOXIDANTS",2,2,NA
".","Missing",9557,9559,NA
