"TYXP127.Code.or.Value","TYXP127.Value.Description","TYXP127.Count","TYXP127.Cumulative","TYXP127.Skip.to.Item"
"-291 to 63","Range of Values",5006,5006,NA
".","Missing",579,5585,NA
