"DS2IZINC.Code.or.Value","DS2IZINC.Value.Description","DS2IZINC.Count","DS2IZINC.Cumulative","DS2IZINC.Skip.to.Item"
"0.15 to 139.2","Range of Values",1724,1724,NA
".","Missing",3975,5699,NA
