"HCQ220.Code.or.Value","HCQ220.Value.Description","HCQ220.Count","HCQ220.Cumulative","HCQ220.Skip.to.Item"
"1","True",23,23,NA
"2","False",7,30,NA
"7","Refused",1,31,NA
"9","Don't know",3,34,NA
".","Missing",44,78,NA
