"RDQ080.Code.or.Value","RDQ080.Value.Description","RDQ080.Count","RDQ080.Cumulative","RDQ080.Skip.to.Item"
"1 to 12","Range of Values",1330,1330,NA
"7777","Refused",0,1330,NA
"9999","Don't know",35,1365,NA
".","Missing",9105,10470,NA
