"DRD370BQ.Code.or.Value","DRD370BQ.Value.Description","DRD370BQ.Count","DRD370BQ.Cumulative","DRD370BQ.Skip.to.Item"
"1 to 30","Range of Values",1575,1575,NA
".","Missing",7129,8704,NA
