"DR2TVB2.Code.or.Value","DR2TVB2.Value.Description","DR2TVB2.Count","DR2TVB2.Cumulative","DR2TVB2.Skip.to.Item"
"0 to 14.744","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
