"LBXSCH.Code.or.Value","LBXSCH.Value.Description","LBXSCH.Count","LBXSCH.Cumulative","LBXSCH.Skip.to.Item"
"74 to 453","Range of Values",6375,6375,NA
".","Missing",542,6917,NA
