"DS2TPFAT.Code.or.Value","DS2TPFAT.Value.Description","DS2TPFAT.Count","DS2TPFAT.Cumulative","DS2TPFAT.Skip.to.Item"
"0.075 to 6","Range of Values",187,187,NA
".","Missing",9357,9544,NA
