"LBDCBCSI.Code.or.Value","LBDCBCSI.Value.Description","LBDCBCSI.Count","LBDCBCSI.Cumulative","LBDCBCSI.Skip.to.Item"
"0.009 to 0.43","Range of Values",6224,6224,NA
".","Missing",1211,7435,NA
