"IMQ070.Code.or.Value","IMQ070.Value.Description","IMQ070.Count","IMQ070.Cumulative","IMQ070.Skip.to.Item"
"1","Yes",133,133,"IMQ090"
"2","No",2498,2631,""
"7","Refused",0,2631,""
"9","Don't know",180,2811,""
".","Missing",6945,9756,""
