"LBCGHCLA.Code.or.Value","LBCGHCLA.Value.Description","LBCGHCLA.Count","LBCGHCLA.Cumulative","LBCGHCLA.Skip.to.Item"
"0.3677 to 1.39","Range of Values",251,251,NA
".","Missing",0,251,NA
