"BAQ080A.Code.or.Value","BAQ080A.Value.Description","BAQ080A.Count","BAQ080A.Cumulative","BAQ080A.Skip.to.Item"
"1","Yes",297,297,NA
"2","No",116,413,NA
"7","Refused",0,413,NA
"9","Don't know",2,415,NA
".","Missing",2770,3185,NA
