"URXOPM.Code.or.Value","URXOPM.Value.Description","URXOPM.Count","URXOPM.Cumulative","URXOPM.Skip.to.Item"
"0.07 to 462.06","Range of Values",1998,1998,NA
".","Missing",127,2125,NA
