"AUXRR153.Code.or.Value","AUXRR153.Value.Description","AUXRR153.Count","AUXRR153.Cumulative","AUXRR153.Skip.to.Item"
"-18 to 35","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
