"SMDUPCA.Code.or.Value","SMDUPCA.Value.Description","SMDUPCA.Count","SMDUPCA.Cumulative","SMDUPCA.Skip.to.Item"
"Cig 12-digit Universal Product Code-UPC","Value was recorded",758,758,NA
"","Missing",6352,7110,NA
"* NO MATCH *","No match",58,7168,NA
