"DR2TVB1.Code.or.Value","DR2TVB1.Value.Description","DR2TVB1.Count","DR2TVB1.Cumulative","DR2TVB1.Skip.to.Item"
"0 to 18.489","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
