"DXXOSA.Code.or.Value","DXXOSA.Value.Description","DXXOSA.Count","DXXOSA.Cumulative","DXXOSA.Skip.to.Item"
"19.69 to 88.16","Range of Values",5843,5843,NA
".","Missing",1877,7720,NA
