"LBDINLC.Code.or.Value","LBDINLC.Value.Description","LBDINLC.Count","LBDINLC.Cumulative","LBDINLC.Skip.to.Item"
"0","Detectable result",2818,2818,NA
"1","Below detectable limit",7,2825,NA
".","Missing",211,3036,NA
