"LBC206LA.Code.or.Value","LBC206LA.Value.Description","LBC206LA.Count","LBC206LA.Cumulative","LBC206LA.Skip.to.Item"
"0.1 to 21.5","Range of Values",264,264,NA
".","Missing",0,264,NA
