"DR1IP182.Code.or.Value","DR1IP182.Value.Description","DR1IP182.Count","DR1IP182.Cumulative","DR1IP182.Skip.to.Item"
"0 to 78.692","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
