"ACD010A.Code.or.Value","ACD010A.Value.Description","ACD010A.Count","ACD010A.Cumulative","ACD010A.Skip.to.Item"
"1","English",5251,5251,NA
"7","Refused",1,5252,NA
"9","Don't know",0,5252,NA
".","Missing",2092,7344,NA
