"DR1TVC.Code.or.Value","DR1TVC.Value.Description","DR1TVC.Count","DR1TVC.Cumulative","DR1TVC.Skip.to.Item"
"0 to 1383.3","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
