"DS2TCOPP.Code.or.Value","DS2TCOPP.Value.Description","DS2TCOPP.Count","DS2TCOPP.Cumulative","DS2TCOPP.Skip.to.Item"
"0 to 20","Range of Values",1396,1396,NA
".","Missing",8366,9762,NA
