"LBXRST.Code.or.Value","LBXRST.Value.Description","LBXRST.Count","LBXRST.Cumulative","LBXRST.Skip.to.Item"
"0.5 to 8.4","Range of Values",6698,6698,NA
".","Missing",1388,8086,NA
