"WHD130.Code.or.Value","WHD130.Value.Description","WHD130.Count","WHD130.Cumulative","WHD130.Skip.to.Item"
"51 to 84","Range of Values",2670,2670,NA
"7777","Refused",2,2672,NA
"9999","Don't know",148,2820,NA
".","Missing",3507,6327,NA
