"WBXA098.Code.or.Value","WBXA098.Value.Description","WBXA098.Count","WBXA098.Cumulative","WBXA098.Skip.to.Item"
"-85.8949 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
