"URDETULC.Code.or.Value","URDETULC.Value.Description","URDETULC.Count","URDETULC.Cumulative","URDETULC.Skip.to.Item"
"0","At or above the detection limit",192,192,NA
"1","Below lower detection limit",2379,2571,NA
".","Missing",123,2694,NA
