"CVDR3DI.Code.or.Value","CVDR3DI.Value.Description","CVDR3DI.Count","CVDR3DI.Cumulative","CVDR3DI.Skip.to.Item"
"39 to 161","Range of Values",2141,2141,NA
".","Missing",2522,4663,NA
