"HCQ126C.Code.or.Value","HCQ126C.Value.Description","HCQ126C.Count","HCQ126C.Cumulative","HCQ126C.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",3,3,NA
"7","Refused",0,3,NA
"9","Don't know",0,3,NA
".","Missing",75,78,NA
