"TYXP133.Code.or.Value","TYXP133.Value.Description","TYXP133.Count","TYXP133.Cumulative","TYXP133.Skip.to.Item"
"-293 to 33","Range of Values",7896,7896,NA
".","Missing",573,8469,NA
