"INQ300.Code.or.Value","INQ300.Value.Description","INQ300.Count","INQ300.Cumulative","INQ300.Skip.to.Item"
"1","Yes",2218,2218,"INQ320"
"2","No",6939,9157,""
"7","Refused",122,9279,"INQ320"
"9","Don't know",141,9420,"INQ320"
".","Missing",551,9971,""
