"DXDRAPF.Code.or.Value","DXDRAPF.Value.Description","DXDRAPF.Count","DXDRAPF.Cumulative","DXDRAPF.Skip.to.Item"
"10.8 to 64.1","Range of Values",4669,4669,NA
".","Missing",1023,5692,NA
