"DX2TOBCC.Code.or.Value","DX2TOBCC.Value.Description","DX2TOBCC.Count","DX2TOBCC.Cumulative","DX2TOBCC.Skip.to.Item"
"0","Valid data",414,414,NA
"1","Invalid data",65,479,NA
".","Missing",6,485,NA
