"VIDROVA.Code.or.Value","VIDROVA.Value.Description","VIDROVA.Count","VIDROVA.Cumulative","VIDROVA.Skip.to.Item"
"25","20/25",1357,1357,NA
"30","20/30",125,1482,NA
"40","20/40",80,1562,NA
"50","20/50",193,1755,NA
"60","20/60",13,1768,NA
"80","20/80",27,1795,NA
"200","20/200",42,1837,NA
"666","20/200+",33,1870,NA
".","Missing",5110,6980,NA
