"DRD350D.Code.or.Value","DRD350D.Value.Description","DRD350D.Count","DRD350D.Cumulative","DRD350D.Skip.to.Item"
"1","Yes",335,335,""
"2","No",3364,3699,"DRD350E"
".","Missing",5845,9544,""
