"AUDTYL03.Code.or.Value","AUDTYL03.Value.Description","AUDTYL03.Count","AUDTYL03.Cumulative","AUDTYL03.Skip.to.Item"
"0 to 2.13","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
