"DR1ICRYP.Code.or.Value","DR1ICRYP.Value.Description","DR1ICRYP.Count","DR1ICRYP.Cumulative","DR1ICRYP.Skip.to.Item"
"0 to 4920","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
